rank,school,grades,district,number_of_students,student_teacher_ratio,2017_rank,rank_change,fulltime_teachers,free_disc_lunch,avg_test_score,white,black,hispanic,asian,american_indian,pacific_islander,biracial,expected_test_score
684,Rainier Elementary School,K-5,Rainier School District,369,17.7,594,90,21,0.529,0.364,0.81,0.008,0.098,0.003,0.005,0.005,0.07,0.5101830904556642
685,Central Avenue Elementary,K-5,Franklin Pierce School District,496,18.7,717,32,27,0.6609999999999999,0.363,0.494,0.04,0.192,0.09300000000000001,0.012,0.016,0.153,0.38643009148980745
686,Waterville Elementary,K-5,Waterville School District,126,14.2,790,104,9,0.5870000000000001,0.36200000000000004,0.77,0,0.159,0,0.04,0,0.032,0.45314651207894074
687,Everson Elementary,"PK, KG-5",Nooksack Valley School District,260,15.9,556,131,16,0.654,0.36200000000000004,0.381,0.004,0.408,0.019,0.11900000000000001,0,0.069,0.2918871615478389
688,Tenino Elementary School,3-5,Tenino School District,287,17.9,602,86,16,0.519,0.36,0.861,0,0.07,0.003,0.003,0,0.063,0.5361262832308127
689,Skyline Elementary School,"PK, KG-5",Ferndale School District,420,17.6,758,69,24,0.424,0.359,0.5670000000000001,0.024,0.131,0.024,0.17600000000000002,0,0.079,0.5091419252410534
690,Washington Elementary School,4-6,Centralia School District,386,17.1,764,74,22,0.795,0.359,0.505,0.003,0.44299999999999995,0.005,0.008,0,0.036000000000000004,0.24354032573842807
691,Nob Hill Elementary School,K-5,Yakima School District,496,19.3,849,158,26,0.561,0.35700000000000004,0.423,0.004,0.5379999999999999,0,0.006,0,0.027999999999999997,0.34511445209857194
692,Kellogg Marsh Elementary School,"PK, KG-5",Marysville School District,488,18.7,588,104,26,0.49200000000000005,0.35700000000000004,0.615,0.01,0.195,0.023,0.016,0.012,0.129,0.48020480699400325
693,Garden Heights Elementary,K-5,Moses Lake School District,516,19.8,577,116,26,0.523,0.35600000000000004,0.5,0.006,0.43799999999999994,0.008,0.008,0,0.040999999999999995,0.40324969120771287
694,Spruce Elementary,K-6,Edmonds School District,566,17.5,484,210,32,0.532,0.354,0.325,0.12,0.263,0.175,0.005,0.016,0.095,0.4837084358197673
695,Ocosta Elementary School,"PK, KG-6",Ocosta School District,326,14,559,136,23,0.7609999999999999,0.353,0.6629999999999999,0.006,0.23,0.006,0.025,0,0.071,0.3101889899383344
696,Kittitas Elementary School,K-5,Kittitas School District,273,15.6,578,118,18,0.524,0.353,0.784,0,0.201,0.004,0,0,0.011000000000000001,0.5046964506277413
697,Pinecrest Elementary,"PK, KG-5",Central Kitsap School District,367,14.7,544,153,25,0.42,0.35200000000000004,0.485,0.054000000000000006,0.183,0.019,0,0,0.259,0.47636329309596587
698,Graham Hill Elementary School,"PK, KG-5",Seattle School District,352,12.1,856,158,29,0.679,0.35100000000000003,0.20199999999999999,0.313,0.188,0.156,0.003,0.009000000000000001,0.131,0.3275249934933443
699,Vista Elementary School,K-5,Kennewick School District,570,16,784,85,35,0,0.35,0.5770000000000001,0.026000000000000002,0.305,0.016,0.005,0,0.07,0.7635902108513967
700,English Crossing Elementary,K-5,Lakewood School District,322,18.7,706,6,17,0.447,0.35,0.6459999999999999,0.016,0.19899999999999998,0.022000000000000002,0.006,0.006,0.106,0.5214652182965221
701,Covington Elementary School,"PK, KG-6",Kent School District,575,19.7,729,28,29,0.43700000000000006,0.35,0.45899999999999996,0.078,0.23800000000000002,0.13,0.006999999999999999,0,0.087,0.5569622095805967
702,Cascade Elementary,K-5,Marysville School District,449,16.5,715,13,27,0.617,0.348,0.457,0.018000000000000002,0.29600000000000004,0.069,0.022000000000000002,0.011000000000000001,0.127,0.3805669885444902
703,Robert Gray Elementary,K-5,Longview Public Schools,468,15.9,601,102,29,0.408,0.34700000000000003,0.797,0.004,0.107,0.011000000000000001,0.015,0,0.066,0.5935989065689564
704,Summit Valley School,"PK, KG-8",Summit Valley School District,65,15.3,582,122,4,0.831,0.34700000000000003,0.892,0,0.046,0,0,0,0.062,0.33939660039203917
705,Des Moines Elementary,K-6,Highline School District,379,18.1,667,38,21,0.541,0.34700000000000003,0.391,0.182,0.21899999999999997,0.098,0.003,0.008,0.1,0.4320069458876371
706,Ness Elementary,1-5,West Valley School District (Spokane),302,15,612,94,20,0.7090000000000001,0.345,0.795,0.026000000000000002,0.10300000000000001,0,0.01,0,0.066,0.3819569277012776
707,Ardmore Elementary School,"PK, KG-5",Bellevue School District,446,16.3,637,70,27,0.39899999999999997,0.345,0.265,0.067,0.249,0.354,0,0.002,0.063,0.70357303006115
708,Washington Elementary School,K-5,Kennewick School District,486,15.7,776,68,31,0,0.34299999999999997,0.428,0.035,0.49,0.002,0,0.002,0.043,0.7101817625715168
709,Canyon View Elementary School,K-5,Kennewick School District,550,15.8,985,276,35,0,0.342,0.529,0.027000000000000003,0.39799999999999996,0,0.002,0,0.044000000000000004,0.739076533819192
710,Bordeaux Elementary School,K-5,Shelton School District,594,17.7,785,75,33,0.662,0.342,0.705,0.002,0.145,0.005,0.057,0.002,0.084,0.3843752675044297
711,Midland Elementary,K-5,Franklin Pierce School District,576,17.7,628,83,33,0.825,0.342,0.304,0.094,0.28600000000000003,0.064,0.012,0.066,0.174,0.2140785947158396
712,Kalama Elementary School,K-5,Kalama School District,457,19.8,694,18,23,0.374,0.342,0.9059999999999999,0.002,0.059000000000000004,0.013000000000000001,0.011000000000000001,0.004,0.004,0.6553865453986188
